;artist.hotttnesss;bars_confidence;bars_start;beats_confidence;beats_start;duration;end_of_fade_in;familiarity;key_confidence;latitude;mode_confidence;release.id;song.hotttnesss;start_of_fade_out;tatums_confidence;tatums_start;tempo;terms_freq;time_signature_confidence;year;spotify_popularity;target_h
1;0.401997543;643;0.58521;834;0.58521;218.93179;247;0.581793766;736;37.1573567501336;636;300848;0.60211999;218.932;779;0.28519;92.198;1;778;0;0.2;0.60211999
2;0.417499645;7;0.71054;1;0.20627;148.03546;148;0.630630038;169;35.14968;0.43;300822;NA;137.915;969;0.20627;121.274;1;384;1969;0.34;0.34
4;0.454231157;17;1.30621;809;0.81002;233.40363;0;0.630382334;751;37.1573567501336;749;287650;NA;217.124;601;0.56254;119.293;0.988583863;0;1982;0.14;0.14
5;0.401723686;175;1.06368;883;0.13576;209.60608;66;0.651045661;92;37.1573567501336;371;611336;0.604500739;198.699;1;0.13576;129.738;0.887288301;562;2007;0.11;0.604500739
7;0.261941177;709;0.27253;709;0.27253;114.78159;96;0.556495602;0;37.1573567501336;0;25824;NA;114.782;467;0.05611;111.787;1;0;0;0;0
8;0.605507136;142;0.65428;234;0.65428;189.57016;319;0.801136447;0;37.1573567501336;0.16;8876;NA;181.023;292;0.36129;101.43;0.999818045;408;0;0;0
9;0.332275747;806;1.91886;0.44;1.22595;269.81832;5.3;0.426667857;717;37.1573567501336;652;358182;0.265861049;258.99;121;1.22595;86.643;0.959766246;487;1984;0.09;0.265861049
11;0.296268954;873;0.11194;873;0.11194;218.77506;2.125;0.360031167;354;35.21962;485;539081;0;207.012;229;0.11194;146.765;0.956080751;0;0;NA;0
12;0.351555861;18;1.45439;1;0.42896;245.21098;357;0.545159296;0.07;37.1573567501336;686;163874;0.265861049;227.48;728;0.1727;117.975;1;835;0;NA;0.265861049
13;0.37948217;13;1.2229;699;0.29639;226.35057;0;0.577508974;205;37.1573567501336;305;575792;0;221.553;1;0.06508;130.04;1;0;0;NA;0
14;0.251936525;1;0.46223;1;0.46223;191.84281;0.38;0.085512047;0;37.1573567501336;198;815863;0;188.424;774;0.23506;137.334;0.977114901;319;0;NA;0
16;0.447935481;507;1.32118;0;0.30065;491.12771;0;0.636423645;1;43.64856;829;135122;0.405115722;486.034;377;0.05047;119.826;1;756;1987;0.1;0.405115722
17;0.330806357;125;1.19076;768;0.24795;228.5971;223;0.419943148;41;37.16793;516;149958;0.334706549;217.426;767;0.08584;127.756;0.830058031;579;0;0.03;0.334706549
18;0.306676094;443;0.90668;0;0.27615;599.24853;1.193;0.363280571;0.06;37.1573567501336;346;535188;NA;591.999;0.48;0.12168;99.273;1;158;0;0;0
19;0.51346329;0.03;0.8752;1;0.05728;290.29832;145;0.707199764;725;37.1573567501336;756;372309;0.684136191;285.605;238;0.05728;150.062;1;931;2004;0.27;0.684136191
20;0;26;0.66829;821;0.22335;165.69424;162;0.32031437;11;37.1573567501336;568;541101;0;157.391;682;0.22335;138.331;1;127;0;0;0
22;0.328553015;899;0.46253;899;0.46253;220.78649;206;0.489816269;809;38.8991;521;239740;0;207.656;841;0.16228;110.382;0.905093008;192;0;0;0
23;0.378254686;552;1.06937;0;0.51434;269.58322;0;0.677420465;596;49.80388;666;386995;0.313562114;256.168;978;0.51434;111.874;0.935319892;1;0;NA;0.313562114
24;0.541888972;27;1.06698;931;0.33578;207.77751;61;0.839962768;381;40.82624;453;223365;0.666527846;204.696;654;0.15349;166.862;0.944381208;0;2004;0.42;0.666527846
25;0.306242264;6;0.70311;587;0.26706;124.86485;0;0.435415818;697;37.83721;541;652784;0.495293621;115.74;1;0.04025;137.522;0.979853486;0;1985;NA;0.495293621
26;0.363651365;857;0.08901;857;0.08901;225.09669;0;0.6090637;0.53;37.1573567501336;512;45730;0.375984302;225.097;0.24;0.08901;164.672;0.953673906;0;0;NA;0.375984302
27;0.422705641;63;0.93643;1;0.45716;338.31138;0;0.550513698;687;37.1573567501336;486;672016;NA;338.311;956;0.21693;125.006;0.915601748;1;0;0;0
28;0.349912612;0;0.52648;0;0.52648;186.48771;1.083;0.459797129;762;32.67828;539;160881;NA;175.467;231;0.07391;90.022;1;971;2005;0.02;0.02
29;0.379671125;0.02;1.01964;1;0.06314;168.25424;0.2;0.588827101;812;40.79195;736;59744;NA;161.89;959;0.06314;127.025;0.965406124;792;1997;0.44;0.44
30;0.299230368;96;0.97531;987;0.3393;156.39465;562;0.396455254;569;40.73197;495;373723;0;150.634;0.67;0.3393;95.957;1;689;1961;NA;0
